ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_CODIGO_ICFES,COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PUNT_MATEMATICAS,PERCENTIL_MATEMATICAS,DESEMP_MATEMATICAS,PUNT_C_NATURALES,PERCENTIL_C_NATURALES,DESEMP_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_GLOBAL,PERCENTIL_GLOBAL,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION,ESTU_GENERACION-E
CC,COLOMBIA,M,7/27/2001 0:00,20204,SB11202040397373,ESTUDIANTE,COLOMBIA,No,ANTIOQUIA,5,PEÑOL,5541,Estrato 2,3 a 4,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,No sabe,No sabe,Si,Si,Si,Si,Si,No,Si,No,26 A 100 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Igual,30 minutos o menos,Entre 30 y 60 minutos,0,No,207548,1.05541E+11,I. E.  LEON XIII,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.05541E+11,I. E.  LEON XIII,S,URBANO,TARDE,5541,PEÑOL,5,ANTIOQUIA,N,5541,PEÑOL,ANTIOQUIA,5,46,30,2,64,86,3,50,58,2,41,30,2,45,48,A-,249,53,54.39282425,3,2,PUBLICAR,NO
TI,COLOMBIA,M,1/20/2001 0:00,20204,SB11202040493464,ESTUDIANTE,COLOMBIA,Si,SUCRE,70,SAN ONOFRE,70713,Estrato 4,3 a 4,Cinco,Secundaria (Bachillerato) incompleta,No Aplica,"Es agricultor, pesquero o jornalero","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Si,No,No,Si,Si,No,No,No,0 A 10 LIBROS,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Igual,30 minutos o menos,No Navega Internet,0,No,137570,2.70713E+11,INST EDUC SAN ANTONIO,MIXTO,OFICIAL,A,,ACADÉMICO,2.70713E+11,INST EDUC SAN ANTONIO,S,RURAL,MAÑANA,70713,SAN ONOFRE,70,SUCRE,N,70713,SAN ONOFRE,SUCRE,70,33,3,1,30,3,1,29,2,1,25,1,1,40,31,A-,150,1,46.03366597,2,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,M,8/24/2003 0:00,20204,SB11202040408835,ESTUDIANTE,COLOMBIA,No,QUINDIO,63,ARMENIA,63001,Estrato 3,3 a 4,Tres,Educación profesional completa,Técnica o tecnológica completa,No sabe,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Si,Si,Si,Si,Si,Si,Si,No,26 A 100 LIBROS,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,Igual,30 minutos o menos,Más de 3 horas,0,No,253203,1.63001E+11,INEM JOSE CELESTINO MUTIS,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.63001E+11,INEM JOSE CELESTINO MUTIS,S,URBANO,UNICA,63001,ARMENIA,63,QUINDIO,N,63001,ARMENIA,QUINDIO,63,47,32,2,46,35,2,43,35,2,43,39,2,57,84,A1,228,38,65.138002,4,3,PUBLICAR,NO
TI,COLOMBIA,M,7/12/2003 0:00,20204,SB11202040137530,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11,BOGOTÁ D.C.,11001,Estrato 3,3 a 4,Tres,Educación profesional completa,Educación profesional completa,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Si,Si,Si,Si,Si,Si,No,Si,0 A 10 LIBROS,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Igual,No leo por entretenimiento,Entre 1 y 3 horas,0,No,19935,1.11848E+11,COLEGIO DE BACHILLERATO PATRIA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,1.11848E+11,COLEGIO DE BACHILLERATO PATRIA - SEDE PRINCIPAL,S,URBANO,COMPLETA,11001,BOGOTÁ D.C.,11,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,76,100,4,73,98,4,69,98,3,74,99,4,79,99,B+,367,100,71.39090762,4,4,PUBLICAR,NO
TI,COLOMBIA,F,10/18/2002 0:00,20204,SB11202040496104,ESTUDIANTE,COLOMBIA,No,VALLE,76,ALCALÁ,76020,Estrato 3,3 a 4,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Si,Si,No,Si,No,No,No,No,0 A 10 LIBROS,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Igual,No leo por entretenimiento,30 minutos o menos,Entre 11 y 20 horas,"Si, en efectivo",130500,4.7602E+11,IE ARTURO GOMEZ JARAMILLO,MIXTO,OFICIAL,A,N,TÉCNICO,4.7602E+11,ARTURO GOMEZ JARAMILLO,S,RURAL,SABATINA,76020,ALCALÁ,76,VALLE,N,76020,ALCALÁ,VALLE,76,40,13,2,43,27,2,30,2,1,33,10,1,47,57,A-,187,10,52.01966577,3,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,M,1/31/2003 0:00,20204,SB11202040195172,ESTUDIANTE,COLOMBIA,No,META,50,GRANADA,50313,Estrato 2,5 a 6,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,"Es agricultor, pesquero o jornalero","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Si,Si,Si,Si,No,No,Si,No,0 A 10 LIBROS,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Igual,,No Navega Internet,0,No,103549,1.50313E+11,IE GENERAL SANTANDER,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.50313E+11,SEDE PRINCIPAL - GENERAL SANTANDER,S,URBANO,MAÑANA,50313,GRANADA,50,META,N,50313,GRANADA,META,50,53,54,3,58,74,3,56,77,3,63,88,3,47,59,A-,283,76,47.00462979,2,2,PUBLICAR,NO
TI,COLOMBIA,F,12/29/2003 0:00,20204,SB11202040180106,ESTUDIANTE,COLOMBIA,No,CUNDINAMARCA,25,SAN ANTONIO DEL TEQUENDAMA,25645,Estrato 2,3 a 4,Dos,Secundaria (Bachillerato) completa,Postgrado,"Es agricultor, pesquero o jornalero","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Si,No,Si,Si,No,No,Si,No,11 A 25 LIBROS,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Igual,No leo por entretenimiento,Entre 1 y 3 horas,0,No,734210,2.25645E+11,INSTITUCION EDUCATIVA DEPARTAMENTAL MARIANO SANTAMARIA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,2.25645E+11,INSTITUCION EDUCATIVA DEPARTAMENTAL MARIANO SANTAMARIA,S,URBANO,UNICA,25645,SAN ANTONIO DEL TEQUENDAMA,25,CUNDINAMARCA,N,25245,EL COLEGIO,CUNDINAMARCA,25,63,86,3,65,88,3,59,84,3,56,74,3,63,90,A2,305,87,56.47332068,3,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,M,1/28/2003 0:00,20204,SB11202040083657,ESTUDIANTE,COLOMBIA,No,CESAR,20,VALLEDUPAR,20001,Estrato 3,5 a 6,Dos,Educación profesional completa,Educación profesional completa,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Si,Si,Si,Si,Si,No,Si,No,0 A 10 LIBROS,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Igual,30 minutos o menos,Entre 1 y 3 horas,0,No,60145,3.20001E+11,IE LOPERENA GARUPAL,MIXTO,OFICIAL,A,N,ACADÉMICO,3.20001E+11,COLEGIO LOPERENA GARUPAL,S,URBANO,MAÑANA,20001,VALLEDUPAR,20,CESAR,N,20001,VALLEDUPAR,CESAR,20,57,69,3,56,67,3,63,91,3,53,65,2,57,85,A1,286,78,58.04326027,3,2,PUBLICAR,NO
TI,COLOMBIA,M,6/14/2004 0:00,20204,SB11202040415951,ESTUDIANTE,COLOMBIA,No,META,50,PUERTO LÓPEZ,50573,Estrato 1,1 a 2,Dos,Técnica o tecnológica incompleta,Secundaria (Bachillerato) completa,"Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja en el hogar, no trabaja o estudia",Si,No,No,Si,Si,No,Si,Si,0 A 10 LIBROS,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Igual,No leo por entretenimiento,30 minutos o menos,0,No,28589,1.50573E+11,IE ENRIQUE OLAYA HERRERA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.50573E+11,SEDE PRINCIPAL - ENRIQUE OLAYA HERRERA,S,URBANO,MAÑANA,50573,PUERTO LÓPEZ,50,META,N,50573,PUERTO LÓPEZ,META,50,48,34,2,46,35,2,49,53,2,45,43,2,36,14,A-,231,39,51.59905609,3,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,F,4/21/2003 0:00,20204,SB11202040374246,ESTUDIANTE,COLOMBIA,No,ANTIOQUIA,5,MEDELLÍN,5001,Estrato 3,3 a 4,Cuatro,Secundaria (Bachillerato) completa,Educación profesional completa,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Si,Si,Si,Si,No,Si,No,No,0 A 10 LIBROS,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Igual,No leo por entretenimiento,Entre 1 y 3 horas,0,No,663948,1.05001E+11,INST EDUC CASD,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.05001E+11,INST EDUC CASD JOSE MARIA ESPINOSA PRIETO,S,URBANO,UNICA,5001,MEDELLÍN,5,ANTIOQUIA,N,5001,MEDELLÍN,ANTIOQUIA,5,53,52,3,53,58,3,50,58,2,51,60,2,57,84,A1,261,61,63.242506,3,3,PUBLICAR,NO
TI,COLOMBIA,F,2/12/2002 0:00,20204,SB11202040558222,ESTUDIANTE,COLOMBIA,No,VALLE,76,CARTAGO,76147,Estrato 3,3 a 4,Cuatro,Primaria incompleta,Primaria incompleta,"Trabaja por cuenta propia (por ejemplo plomero, electricista)",Es vendedor o trabaja en atención al público,Si,Si,No,Si,Si,Si,Si,No,0 A 10 LIBROS,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Igual,30 minutos o menos,Entre 30 y 60 minutos,Menos de 10 horas,"Si, en efectivo",161620,1.76147E+11,RAMON MARTINEZ BENITEZ,MIXTO,OFICIAL,A,N,ACADÉMICO,1.76147E+11,RAMÓN  MARTINEZ  BENITEZ,S,URBANO,SABATINA,76147,CARTAGO,76,VALLE,N,76147,CARTAGO,VALLE,76,41,16,2,39,16,2,35,10,1,33,10,1,42,38,A-,187,10,50.82445538,2,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,M,5/23/2003 0:00,20204,SB11202040027199,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11,BOGOTÁ D.C.,11001,Estrato 3,3 a 4,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Si,Si,Si,Si,Si,Si,Si,Si,26 A 100 LIBROS,3 a 5 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Igual,30 minutos o menos,Entre 1 y 3 horas,0,"Si, en efectivo",39537,3.11001E+11,COL COOP DE TIMIZA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,3.11001E+11,COL COOP DE TIMIZA,S,URBANO,COMPLETA,11001,BOGOTÁ D.C.,11,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,46,27,2,58,73,3,47,49,2,50,56,2,39,23,A-,247,51,59.23969165,3,3,PUBLICAR,NO
TI,COLOMBIA,M,10/14/2004 0:00,20204,SB11202040051538,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11,BOGOTÁ D.C.,11001,Estrato 2,3 a 4,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,"Es operario de máquinas o conduce vehículos (taxita, chofer)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Si,Si,Si,Si,Si,Si,No,No,0 A 10 LIBROS,Todos o casi todos los días,3 a 5 veces por semana,,Peor,Entre 30 y 60 minutos,Más de 3 horas,0,No,21840,1.11001E+11,COL SALESIANO JUAN DEL RIZZO,MASCULINO,NO OFICIAL,A,N,ACADÉMICO,1.11001E+11,COL SALESIANO JUAN DEL RIZZO,S,URBANO,COMPLETA,11001,BOGOTÁ D.C.,11,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,59,72,3,64,88,3,62,90,3,55,69,2,52,76,A1,297,83,57.44067402,3,3,PUBLICAR,NO
TI,COLOMBIA,M,6/27/2004 0:00,20204,SB11202040374448,ESTUDIANTE,COLOMBIA,No,SANTANDER,68,BARRANCABERMEJA,68081,Estrato 2,3 a 4,Tres,Postgrado,Postgrado,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Si,Si,Si,Si,Si,Si,No,Si,11 A 25 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Igual,Entre 30 y 60 minutos,Entre 1 y 3 horas,0,No,726612,1.68081E+11,INSTITUCION EDUCATIVA INSTITUTO TECNICO SUPERIOR DE COMERCIO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.68081E+11,INSTITUTO TECNICO SUPERIOR DE COMERCIO,S,URBANO,UNICA,68081,BARRANCABERMEJA,68,SANTANDER,N,68081,BARRANCABERMEJA,SANTANDER,68,59,73,3,53,56,3,57,80,3,66,93,3,61,89,A2,295,82,73.56541663,4,2,PUBLICAR,NO
TI,COLOMBIA,F,3/11/2003 0:00,20204,SB11202040291539,ESTUDIANTE,COLOMBIA,No,TOLIMA,73,ATACO,73067,Estrato 5,5 a 6,Tres,Secundaria (Bachillerato) completa,Primaria completa,"Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia",No,Si,No,No,No,No,Si,No,0 A 10 LIBROS,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Igual,Entre 30 y 60 minutos,Entre 1 y 3 horas,0,No,147892,2.73067E+11,INSTITUCION EDUCATIVA JORGE ELICER GAITAN,MIXTO,OFICIAL,A,,ACADÉMICO,2.73067E+11,I.E. JORGE ELIECER GAITAN - SEDE PRINCIPAL,S,RURAL,MAÑANA,73067,ATACO,73,TOLIMA,N,73555,PLANADAS,TOLIMA,73,40,14,2,40,17,2,43,34,2,39,26,1,34,9,A-,200,18,40.1645239,1,1,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,F,2/15/2003 0:00,20204,SB11202040000454,ESTUDIANTE,COLOMBIA,No,TOLIMA,73,VILLAHERMOSA,73870,Estrato 2,3 a 4,Cuatro,Primaria completa,Primaria completa,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia",Si,No,No,No,No,No,No,No,26 A 100 LIBROS,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Igual,30 minutos o menos,Más de 3 horas,0,No,670513,1.7387E+11,INSTITUCION EDUCATIVA TECNICA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,1.7387E+11,I.E.T. FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,UNICA,73870,VILLAHERMOSA,73,TOLIMA,N,73411,LÍBANO,TOLIMA,73,41,15,2,51,51,3,38,17,1,43,37,2,30,2,A-,211,25,43.13197427,2,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,F,12/26/2004 0:00,20204,SB11202040541683,ESTUDIANTE,COLOMBIA,No,BOLIVAR,13,CARTAGENA DE INDIAS,13001,Estrato 1,1 a 2,Dos,Técnica o tecnológica completa,Técnica o tecnológica completa,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)",No,No,Si,Si,No,No,No,No,11 A 25 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Mejor,30 minutos o menos,Entre 30 y 60 minutos,0,No,219519,1.13001E+11,INSTITUCION EDUCATIVA MANUELA BELTRAN,MIXTO,OFICIAL,A,,ACADÉMICO,1.13001E+11,INSTITUCION EDUCATIVA MANUELA BELTRAN,S,URBANO,TARDE,13001,CARTAGENA DE INDIAS,13,BOLIVAR,N,13001,CARTAGENA DE INDIAS,BOLIVAR,13,52,48,3,33,7,1,43,35,2,37,21,1,29,1,A-,202,19,50.56793605,2,2,PUBLICAR,GENERACION E - GRATUIDAD
CC,COLOMBIA,M,1/18/2001 0:00,20204,SB11202040565037,ESTUDIANTE,COLOMBIA,No,MAGDALENA,47,EL BANCO,47245,Estrato 2,5 a 6,Cinco,Ninguno,Secundaria (Bachillerato) completa,No sabe,"Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial",No,Si,No,Si,Si,No,Si,No,0 A 10 LIBROS,3 a 5 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,,Entre 30 y 60 minutos,30 minutos o menos,0,,97469,3.47245E+11,INSTITUTO POLITECNICO DEL MAGDALENA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,3.47245E+11,POLITECNICO DEL MAGDALENA,S,URBANO,SABATINA,47245,EL BANCO,47,MAGDALENA,N,47245,EL BANCO,MAGDALENA,47,42,17,2,40,20,2,30,3,1,27,2,1,30,2,A-,172,4,44.90133044,2,2,PUBLICAR,NO
TI,COLOMBIA,M,10/7/2002 0:00,20204,SB11202040548792,ESTUDIANTE,COLOMBIA,No,CESAR,20,VALLEDUPAR,20001,Estrato 4,3 a 4,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial",Si,Si,Si,Si,Si,No,No,No,26 A 100 LIBROS,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Peor,No leo por entretenimiento,Más de 3 horas,0,No,64352,1.20001E+11,IE ALFONSO LOPEZ PUMAREJO,MIXTO,OFICIAL,A,N,ACADÉMICO,1.20001E+11,ALFONSO LOPEZ PUMAREJO,S,URBANO,MAÑANA,20001,VALLEDUPAR,20,CESAR,N,20001,VALLEDUPAR,CESAR,20,54,55,3,45,31,2,56,78,3,59,80,3,52,76,A1,267,66,60.02299702,3,3,PUBLICAR,NO
TI,COLOMBIA,F,7/7/2003 0:00,20204,SB11202040550083,ESTUDIANTE,COLOMBIA,No,BOLIVAR,13,CARTAGENA DE INDIAS,13001,Estrato 2,7 a 8,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia",Si,Si,No,No,No,No,No,No,11 A 25 LIBROS,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Peor,Entre 30 y 60 minutos,30 minutos o menos,Menos de 10 horas,"Si, en efectivo y especie",90613,3.13001E+11,INST. DOCENTE DEL CARIBE,MIXTO,NO OFICIAL,A,N,ACADÉMICO,3.13001E+11,INST. DOCENTE DEL CARIBE,S,URBANO,TARDE,13001,CARTAGENA DE INDIAS,13,BOLIVAR,N,13001,CARTAGENA DE INDIAS,BOLIVAR,13,67,94,4,66,90,3,67,96,3,65,91,3,65,92,A2,331,95,46.27768651,2,3,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,M,3/21/2003 0:00,20204,SB11202040158750,ESTUDIANTE,COLOMBIA,No,META,50,VILLAVICENCIO,50001,Estrato 4,3 a 4,Tres,Técnica o tecnológica completa,Educación profesional completa,Pensionado,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Si,Si,Si,Si,Si,Si,No,No,26 A 100 LIBROS,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Igual,Entre 30 y 60 minutos,Entre 30 y 60 minutos,0,No,126268,4.50606E+11,COL LOS PORTALES,MIXTO,NO OFICIAL,A,,ACADÉMICO,4.50606E+11,COL LOS PORTALES,S,RURAL,COMPLETA,50606,RESTREPO,50,META,N,50001,VILLAVICENCIO,META,50,58,72,3,63,85,3,73,99,4,79,100,4,83,100,B+,347,98,68.27910067,4,4,PUBLICAR,NO
TI,COLOMBIA,F,1/16/2004 0:00,20204,SB11202040546364,ESTUDIANTE,COLOMBIA,No,ATLANTICO,8,PUERTO COLOMBIA,8573,Estrato 2,3 a 4,Dos,Técnica o tecnológica completa,Técnica o tecnológica completa,No sabe,"Trabaja en el hogar, no trabaja o estudia",Si,Si,No,Si,Si,No,Si,No,0 A 10 LIBROS,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Igual,30 minutos o menos,Más de 3 horas,0,No,729764,1.08573E+11,INSTITUCION EDUCATIVA COMERCIAL FRANCISCO JAVIER CISNEROS,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.08573E+11,INSTITUCION EDUCATIVA COMERCIAL FRANCISCO JAVIER CISNEROS,S,URBANO,UNICA,8573,PUERTO COLOMBIA,8,ATLANTICO,N,8001,BARRANQUILLA,ATLANTICO,8,49,38,2,51,50,3,46,44,2,40,27,1,41,31,A-,230,39,54.39051433,3,3,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,F,12/18/2003 0:00,20204,SB11202040178968,ESTUDIANTE,COLOMBIA,No,SUCRE,70,TOLÚ VIEJO,70823,Estrato 1,7 a 8,Cuatro,Educación profesional completa,Primaria completa,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia",Si,Si,Si,Si,Si,No,Si,No,0 A 10 LIBROS,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,Igual,30 minutos o menos,Entre 30 y 60 minutos,0,No,15586,1.70823E+11,I.E. HERIBERTO GARCIA GARRIDO,MIXTO,OFICIAL,A,N,ACADÉMICO,1.70823E+11,I.E. HERIBERTO GARCIA GARRIDO - SEDE PRINCIPAL,S,URBANO,MAÑANA,70823,TOLÚ VIEJO,70,SUCRE,N,70820,SANTIAGO DE TOLÚ,SUCRE,70,47,31,2,35,8,1,32,5,1,31,6,1,38,19,A-,182,8,53.99352661,3,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,M,9/6/2003 0:00,20204,SB11202040108527,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11,BOGOTÁ D.C.,11001,Estrato 2,3 a 4,Tres,Primaria completa,Secundaria (Bachillerato) completa,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia",Si,Si,Si,Si,Si,Si,No,Si,11 A 25 LIBROS,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,Igual,No leo por entretenimiento,Más de 3 horas,0,No,137646,3.11001E+11,GIMN PSICOPEDAG SUBA,MIXTO,NO OFICIAL,A,,ACADÉMICO,3.11001E+11,GIMN PSICOPEDAG SUBA,S,URBANO,COMPLETA,11001,BOGOTÁ D.C.,11,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,60,78,3,66,90,3,65,94,3,57,75,3,57,85,A1,308,88,59.48084441,3,3,PUBLICAR,NO
TI,COLOMBIA,F,9/10/2002 0:00,20204,SB11202040290185,ESTUDIANTE,COLOMBIA,No,HUILA,41,NEIVA,41001,Estrato 2,3 a 4,Dos,Primaria completa,Secundaria (Bachillerato) completa,"Trabaja por cuenta propia (por ejemplo plomero, electricista)",Es vendedor o trabaja en atención al público,Si,No,Si,Si,Si,No,No,No,11 A 25 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Igual,30 minutos o menos,Más de 3 horas,Entre 11 y 20 horas,"Si, en efectivo",726158,1.41001E+11,TECNICO SUPERIOR,MIXTO,OFICIAL,A,N,TÉCNICO,1.41001E+11,TECNICO SUPERIOR,S,URBANO,UNICA,41001,NEIVA,41,HUILA,N,41001,NEIVA,HUILA,41,61,79,3,55,63,3,53,69,2,64,91,3,37,17,A-,283,76,50.61841696,2,3,PUBLICAR,GENERACION E - GRATUIDAD
